2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04
,,,,,,,,,,,,,,,,,,,,
0.0,0.3060810561640451,6.980860714680852,-2.0761883689198433,-7.618836891986566,-8.37850794704428,-1.290703248884443,-6.512519821514169,,-4.583840395323949,,89.58955636685477,,63.24814691890699,,,,14.28255337979866,,,-24.593428476601385
,0.0,1.336550956005206,-2.3612400222758545,-5.873398923333959,-6.437720438091714,-6.378318173380372,-6.025617226656772,-6.255801002413225,6.924076480415807,59.164655652496734,81.12493038797103,71.65769444960087,76.87024317802114,75.94208279190642,49.185075180991255,14.96937070725821,1.904585112307405,16.54353072210878,93.18359012437348,-34.38648598477818
,,0.0,1.2300717232152607,-5.395964175554661,-4.210487197591899,-6.696644245419761,-5.340220743989012,-10.11929094355049,3.3854844104202892,51.44375487755026,43.4464305622654,68.52354230926454,77.65431639971754,65.6248838678509,52.24274406332453,7.346984280352291,-0.6280426623063118,9.387193875654981,84.8600839867702,-36.52681259058308
,,,0.0,-4.7199544332637196,-7.7349534839567236,5.050313271311924,-1.1619517752041018,3.43269413328269,28.634896525536348,57.92671349914562,98.41655591418262,,73.06626162901082,101.52648566546421,103.28460224036453,,,,,-32.295424340231634
,,,,0.0,-3.1643551729635044,10.25426430734894,3.7342579308146036,8.55651203570858,35.00717360114776,65.75003985333971,108.2456559859716,,81.63956639566396,111.50964450820979,113.35485413677667,,,,,-28.941495297305913
,,,,,0.0,-2.5954376163873363,-1.1793916821849753,-6.1685288640595815,7.929857231533209,58.100558659217896,49.75170701427685,75.93109869646185,85.46322160148976,72.90502793296089,58.93466790813161,12.065487274984491,3.7399130974549917,14.19537554314092,92.98572315332092,-33.73680943513345
,,,,,,0.0,-1.7600940807526384,-2.434339474715801,15.923167385339074,60.509604076832616,90.68992551940416,94.359074872599,66.81693453547629,80.73696589572718,72.3637789102313,20.074480595844772,4.3747549980399825,21.352410819286554,89.25127401019208,-30.556644453155634
,,,,,,,0.0,-1.3035381750465518,0.9112880858988118,52.727921074527536,52.997345378184555,67.10646222116566,73.55283489837157,63.59998415151155,47.684139625183235,1.6205079440548484,1.2480684654701193,8.062918499148154,83.50568564523158,-33.99500772613811
,,,,,,,,0.0,0.46596016659106654,42.65391117892045,39.614861242835346,59.098593872417624,67.24671147581545,46.08057399694858,31.239948868087914,0.7133726444270415,-9.405797699063957,3.3565626159745934,73.5268648715517,-28.790565337511854
,,,,,,,,,0.0,23.963515754560536,23.93864013266999,40.00000000000001,41.68325041459371,28.56135986733004,12.40878938640133,-5.534825870646764,-14.257877280265335,-3.611111111111103,52.110281923714766,-0.15339966832504337
,,,,,,,,,,0.0,3.5793768545993974,0.9643916913946461,-13.06379821958458,-8.861275964391696,-7.574183976261133,-11.89910979228487,-11.43175074183977,9.050445103857557,18.67952522255193,18.189910979228472
,,,,,,,,,,,0.0,-3.7284089313298705,-4.883443336610035,-10.760426906333391,-14.685437438562014,-19.916444319618044,-19.979637691335494,-12.055891026541225,12.645695829237457,2.299536581940722
,,,,,,,,,,,,0.0,-3.6685619092456436,-9.187701444971573,-12.342012820048533,0.14485930539962236,2.4445007786187665,2.705247528338091,12.628109948212801,43.675080577988616
,,,,,,,,,,,,,0.0,1.0125632852053426,-7.751734483405198,-19.182448903056436,,,16.171010688168014,68.17926120382525
,,,,,,,,,,,,,,0.0,-3.4734407401499476,10.276758653692768,12.809060456213114,13.09618758972722,24.022970170681134,58.211038443132864
,,,,,,,,,,,,,,,0.0,-1.6334518151683277,-5.155956707536243,1.114261751667407,29.298294660329894,32.2217340948121
,,,,,,,,,,,,,,,,0.0,-3.379277566539917,7.153041825095048,70.01425855513307,5.50855513307985
,,,,,,,,,,,,,,,,,0.0,15.701619693892724,76.78934073010055,26.405468324335036
,,,,,,,,,,,,,,,,,,0.0,52.797636885140605,9.251252194015148
,,,,,,,,,,,,,,,,,,,0.0,44.76869935758789
,,,,,,,,,,,,,,,,,,,,0.0
