2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04
0.0,-2.024953391653505,-3.7487451599024793,-1.7696830632439293,-7.394234906066248,-8.246092069410583,-9.591280653950953,-3.9294421339452144,,,10.844686648501364,28.182991538792486,55.21583249677327,59.40341316506525,,38.08117022802239,55.88986089201205,9.2298867058655,,,65.46393231033989,-12.089488025240207
,0.0,0.7402301606329329,15.28410453128746,-1.3695756413330116,-6.7459841764565,-10.797770318868386,,,,6.695037161352187,26.915008391273076,36.81371373771279,55.67010309278352,59.99760249340685,,43.38887556940782,10.498081994725478,0.3686166386957448,,65.6736993526732,-12.673819228002884
,,0.0,1.1516718787587155,-0.4480394515275466,-5.045706038008188,-2.7243204233822476,-4.5796247293721315,0.2074813567476539,-7.595621842675003,6.275559297570364,36.00553283617994,36.29720952610055,53.24152032715901,35.81007938417127,48.5716863122444,46.2954053403897,4.059417849410632,7.400168390666349,7.273875390906904,64.68306471012748,-17.007457300938178
,,,0.0,-2.1801491681009817,,-11.904761904761903,-7.94033275960987,-7.177280550774522,-8.806655192197374,-8.31899024670109,22.028112449799185,56.947791164658625,,,30.903614457831313,46.38841078600114,-1.2593230063109704,,1.6810097532988975,43.935742971887535,-23.559954102122774
,,,,0.0,-4.975443092035021,-12.5560538116592,0.7717885360422285,-0.2775998291693435,,,55.09593972117995,73.51209542112808,71.69091851987429,45.65449498184925,43.23236020865746,,,,20.777279521674146,73.14297916476005,-3.669808730667164
,,,,,0.0,-7.977528089887648,6.048154093097924,4.943820224719094,,,63.216693418940615,82.59711075441412,80.68057784911716,53.28089887640451,50.73194221508829,,,,27.101123595505623,82.2086677367576,1.373996789727118
,,,,,,0.0,-0.6338845827972455,1.5690212445476692,1.9863808955973394,-5.36919069884205,46.54344619826155,76.86007468541128,,,28.26121065679231,55.05067938619892,17.839771550506804,,,54.55800671541093,-14.171399880754375
,,,,,,,0.0,2.538216560509563,2.627388535031847,11.136942675159245,24.8375796178344,69.93630573248409,,,52.85668789808916,50.229299363057336,12.28662420382165,4.410828025477715,10.15605095541401,72.2738853503185,-9.449044585987249
,,,,,,,,0.0,-0.45729784281568964,14.56099407089694,35.77015264286616,42.34262646650687,45.53109625331147,20.72032294689039,41.68348681720702,33.52150876750348,6.020562634035567,,-11.829822126908034,55.73041503721458,-14.683991421723224
,,,,,,,,,0.0,5.897729129227273,27.338670151935986,44.42738114687146,48.76654141480153,34.569514785165836,16.82078091815064,,5.61346185263848,,,,-6.446659042640079
,,,,,,,,,,0.0,16.4221180626316,37.63670946267237,28.388017118402274,23.371374227294343,6.742069152910796,16.78214795190543,2.7002241695536946,-0.5230622919638681,2.506623191359281,40.70715304666801,-3.1893213776238176
,,,,,,,,,,,0.0,5.918244664863222,0.9858731590020956,-2.269311692215229,0.661256387135537,-8.145476405169829,-3.5858130447851106,-1.547941088067338,-0.0721370604148079,10.492936579501041,31.866546438232636
,,,,,,,,,,,,0.0,-2.3800711743772283,-16.011387900355874,-6.491103202846962,-10.28612099644128,-16.284697508896794,-16.486832740213515,,-2.360142348754438,4.973665480427038
,,,,,,,,,,,,,0.0,-5.039617804707515,-4.899790258680959,-7.110813330226046,-0.16604521090654661,1.1186203682125473,3.6675600093218454,6.327196457702176,23.132719645770226
,,,,,,,,,,,,,,0.0,-1.2360719061060839,-5.075025999108597,4.34407963155549,,,10.851285098796607,40.56455207250036
,,,,,,,,,,,,,,,0.0,-10.1109030678381,-6.400691343799503,-3.603629554947427,-1.0831052858994483,5.496183206106883,34.552786979691774
,,,,,,,,,,,,,,,,0.0,-2.1124645419656214,0.8476555981979045,6.901384949107295,23.600867678958796,19.99666277323545
,,,,,,,,,,,,,,,,,0.0,-7.686413007263275,2.365562737389226,32.40487772372892,21.413340441127488
,,,,,,,,,,,,,,,,,,0.0,10.763159800159277,37.48099341104915,8.149301281587135
,,,,,,,,,,,,,,,,,,,0.0,34.41771932860356,5.814154698044648
,,,,,,,,,,,,,,,,,,,,0.0,26.804621116680515
,,,,,,,,,,,,,,,,,,,,,0.0
