2021-07-01,2021-07-02,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30
,,,,,,,,,,,,,,,,,,,,
0.0,0.36821110770176296,31.798097575943558,37.769254372506914,28.772629640994186,,31.908560908254067,26.19822031297944,,,,,,,8.223381405339083,,19.898741945382028,6.219699294262038,,,-23.992022092666453
,0.0,19.803625377643492,23.015105740181273,30.422960725075527,24.22054380664653,21.287009063444103,14.456193353474328,14.030211480362537,6.842900302114797,2.2235649546827836,2.9758308157099767,-1.7915407854984915,-2.688821752265854,0.33232628398792224,1.5679758308157092,7.429003021148047,-3.7039274924471273,-6.314199395770386,-14.36555891238671,-16.30513595166164
,,0.0,-1.37095488601944,1.7455762792922178,-1.9474998671555301,-5.162335937084863,-5.8504702694085715,-9.044051224825964,-9.0971890111058,-8.743822732344961,-2.797704447632704,-9.665763324299908,-10.191827408470166,-15.218661990541468,-17.609862373133527,-18.47600828949465,-13.605930176948839,-22.541048939901156,-25.181996918008387,8.666772942239227
,,,0.0,3.1598513011152463,-0.5845590216044437,-3.844081676633812,-4.541781154032652,-7.779753246053551,-7.83362965357471,-7.475351543559075,-1.4465815419427843,-8.410107214050974,-8.943483648510329,-14.040191800010776,-16.464630138462365,-17.342815581057053,-12.405042831743996,-21.46436075642476,-24.14201821022574,10.177253380744563
,,,,0.0,-1.5341515474919958,-4.989327641408748,-6.374066168623277,-9.818569903948775,-6.024546424759867,,3.1910352187833455,,,,-15.530949839914616,-16.875667022411967,-10.637673425827108,-19.1035218783351,-19.09284951974386,14.661152614727852
,,,,,0.0,-3.27868852459017,-3.9804904484487187,-7.237501693537456,-7.291694892291025,-6.931310120579863,-0.8670911800568998,-7.871562118954074,-8.408074786614288,-13.534751388700714,-15.973445332610753,-16.85679447229372,-11.889987806530295,-21.00257417694079,-23.695976154992547,10.825091451022892
,,,,,,0.0,-0.7255918195825676,-4.09301022552177,-4.149040481860205,-3.7764392772096826,2.493346407059822,-4.748564224681325,-5.303263762431715,-10.603726012046497,-13.125087547275518,-14.038380725591809,-8.903207732175384,-18.32469533548115,-21.10939907550076,14.581874212074524
,,,,,,,0.0,-3.392030703239638,-3.4484704819957184,-3.073145953267859,3.2424652895360673,-4.052376114685634,-4.611129924370705,-9.950332994694659,-12.490123038717686,-13.410091432441579,-8.237385709448034,-17.72773450728073,-20.532791511457273,15.419347556157575
,,,,,,,,0.0,-0.05842145235731888,0.3300812058187753,6.86744172460127,-0.6835309925804848,-1.2619033709178156,-6.788572763918912,-9.417538119997666,-10.369807793421744,-5.0154816848747075,-14.839048898755625,-17.742595080913713,19.471870070689945
,,,,,,,,,0.0,-0.359733618741835,5.404923296468055,-0.12189320965632804,-2.782732786300396,-8.068735878225706,-9.002259483886304,-5.190866928291127,-9.061719586157693,-13.036627422999173,-17.172077535973358,3.282197645379939
,,,,,,,,,,0.0,5.679432969306105,-4.252730204118887,-2.9294557843823186,-2.9233717640616956,-3.306665044261249,3.169774587047108,-5.116661089648037,-8.952635901803914,-15.243512913333134,-8.913089769719834
,,,,,,,,,,,0.0,-9.398388025331023,-8.146229130685077,-8.140472078295906,-8.503166378814038,-2.374784110535406,-10.215889464594115,-13.845710995970054,-19.798503166378808,-13.808290155440407
,,,,,,,,,,,,0.0,1.3820492454328905,1.388403494837174,0.9880857823669622,7.752184273232716,-0.9023034154090469,-4.90865766481334,-11.47895154884829,-4.867355043685462
,,,,,,,,,,,,,0.0,-0.9257781324820358,-1.1556264964086207,2.6815642458100486,-3.275339185953708,-8.284118116520348,-13.002394253790909,6.668794892258576
,,,,,,,,,,,,,,0.0,-1.0154582497897893,3.1304572796067363,-1.0801371192031666,-5.403919539486461,-9.902334907185823,12.347196171010912
,,,,,,,,,,,,,,,0.0,4.188447464715086,-0.06534239414533634,-4.433481442760078,-8.978044955567178,13.499738630423398
,,,,,,,,,,,,,,,,0.0,5.973797418850191,-4.9863120844739965,-8.225785425628994,33.294225003259015
,,,,,,,,,,,,,,,,,0.0,-4.370995161501244,-8.918530142539549,13.573950568850524
,,,,,,,,,,,,,,,,,,0.0,-4.755392978017834,18.765170421524047
,,,,,,,,,,,,,,,,,,,0.0,22.611184500220173
,,,,,,,,,,,,,,,,,,,,0.0
