2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29
,,,,,,,,,,,,,,,,,,,,
0.0,1.4971605575632463,2.430403875938209,-4.177753067789198,3.7210595290099695,-8.986934593542749,,22.103967276915142,,34.74047893252848,,12.215559350303797,,-3.9077081926849506,34.3790953496684,31.74218656923871,52.64683690083793,,93.87236408403162,50.23231801755293,221.27397641078593
,0.0,6.275017659524373,-2.782356172984842,4.316772623812888,0.5140883761086266,-0.7260026685503471,,,12.860058080213477,12.487245899066027,,3.3710069853229636,,,48.932579860293544,,92.80668707322816,,77.07008869005575,218.87214504356018
,,0.0,,30.669527521128003,,,63.8787931864956,,,54.88023820992248,48.59657573236413,,37.44362219205675,75.72798528703419,85.05057581994133,97.18877260585892,,156.69746464071463,131.13806542015152,228.37500547357354
,,,0.0,8.40639933513402,3.6484521088718185,18.034489923124887,34.06607105755247,33.15603573654686,17.31975898607937,,,-8.938292125493453,3.5321005609806897,34.66029503428217,65.17348846873054,,107.0808227716601,107.91190525659675,53.25161022231458,219.97091211302723
,,,,0.0,5.720330019039564,0.7658134123122378,,4.082927861222766,1.8489528242013984,,,-13.463084408715883,-7.298497990268669,8.51702982864397,32.092236090543686,26.147662365136444,,78.48529722868628,25.661095832451874,185.37338692616882
,,,,,0.0,2.221049212278707,,,3.2320935520545753,-12.33961344810785,,-16.335065778788366,-16.03865518921553,6.606301770342704,20.046288777001777,29.58827350982623,,66.27821991229494,10.747929186292025,176.0394672730226
,,,,,,0.0,5.54772369184841,0.4229206401857458,-9.109378887138236,-9.287668960942037,-13.019321668463391,-11.609586201177544,-13.861016668048762,-10.854963098101006,12.405672112115438,0.7007214528567866,34.181938800895594,42.333526826436696,-6.5055145534455585,164.54515299776097
,,,,,,,0.0,1.3055159096633302,-1.4986147258836342,-10.221643858618082,-15.976828142053565,-2.58584501721098,-13.56729073965242,-9.49122659726304,-2.6572076232054336,-10.973050121736204,13.349005121316424,19.490387037192527,-18.457728150449164,127.92796574594911
,,,,,,,,0.0,-9.40121009805966,,-19.336532443146247,0.10431879824745606,-11.99666179845607,-18.4811182975172,-5.049029835176297,2.6413519716252924,9.38034633841019,17.158355935739625,-15.505946171500105,139.48675151262256
,,,,,,,,,0.0,-1.030975073313783,-4.765395894428155,-4.004765395894432,-4.073497067448674,11.299486803519047,32.09769061583578,18.28720674486802,47.635630498533715,69.72140762463341,7.771260997067439,145.14296187683286
,,,,,,,,,,0.0,-1.5700250433442455,6.429397033326924,4.989404738971304,-1.78674629165863,6.256020034675404,12.357927181660564,31.410132922365648,20.386245424773655,-3.0918898092852958,174.23906761702946
,,,,,,,,,,,0.0,9.506080913378028,6.403574087862997,3.52444775378507,16.94713328369322,17.324398113675855,37.13080168776372,49.590469099032006,3.266319185902215,185.73343261355177
,,,,,,,,,,,,0.0,0.35428294103372465,27.420528997816064,43.4845911186605,54.889589905362776,,98.7430235379762,32.370783790342145,229.9344819218636
,,,,,,,,,,,,,0.0,10.029342440713851,16.59050459377556,,49.03554764538939,43.547068161046724,11.068353456154707,200.64457164846795
,,,,,,,,,,,,,,0.0,0.9815950920245323,-5.280792826805095,11.774421897121277,8.527607361963186,-14.351109013685697,120.86833411986785
,,,,,,,,,,,,,,,0.0,-3.4299516908212535,1.6135265700483108,1.106280193236711,-13.285024154589372,110.25120772946859
,,,,,,,,,,,,,,,,0.0,10.011571162650302,2.062685515922923,-10.087035266891387,118.25728228605925
,,,,,,,,,,,,,,,,,0.0,-7.780285929270124,0.9380486581389539,67.61976423375974
,,,,,,,,,,,,,,,,,,0.0,18.411016949152536,52.79661016949153
,,,,,,,,,,,,,,,,,,,0.0,142.4623955431755
,,,,,,,,,,,,,,,,,,,,0.0
