2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29
0.0,-1.2672176308539773,-5.068870523415969,-5.840220385674924,-4.24242424242424,0.8264462809917473,-3.526170798898075,2.5895316804407846,11.845730027548223,9.91735537190083,-4.132231404958678,10.137741046831977,10.027548209366394,-2.589531680440765,-0.550964187327812,3.636363636363657,24.903581267217632,25.234159779614334,34.04958677685953,42.148760330578504,17.630853994490376,36.80440771349864
,0.0,-4.124860646599768,-1.8952062430323096,-1.7837235228539396,-0.22296544035673999,-1.8952062430323096,-3.0100334448160493,2.285395763656654,-0.5016722408026748,-8.193979933110363,-1.5050167224080047,-0.7246376811594148,-11.649944258639891,-9.921962095875127,-5.797101449275358,10.813823857302127,6.577480490523987,26.477146042363437,25.80824972129322,3.734671125975484,19.34225195094762
,,0.0,2.32558139534885,2.441860465116289,4.069767441860462,2.32558139534885,1.1627906976744147,6.686046511627921,3.7790697674418525,-4.24418604651163,2.732558139534898,3.5465116279069737,-7.848837209302313,-6.0465116279069715,-1.7441860465116321,15.581395348837207,11.16279069767443,31.918604651162784,31.220930232558146,8.197674418604652,24.476744186046517
,,,0.0,1.6968987712112298,7.080163838502053,2.4575775307197083,8.952603861907555,18.782913984786433,16.734932709186655,1.8139262726740708,16.96898771211236,16.851960210649498,3.4523112931538904,5.617320070216506,10.064365125804578,32.6506729081334,33.001755412521945,42.36395552954946,50.96547688706845,24.92685781158573,45.28964306612055
,,,,0.0,1.5891032917139474,-0.11350737797956624,-1.248581157775269,4.143019296254258,1.305334846765022,-6.526674233825211,0.2837684449489257,1.0783200908058894,-10.045402951191825,-8.286038592508516,-4.086265607264486,12.826333711691248,8.51305334846765,28.77412031782064,28.09307604994324,5.61861520998864,21.50964812712826
,,,,,0.0,-0.27624309392265584,-4.475138121546973,-2.8176795580110583,-4.917127071823208,-9.116022099447525,-7.403314917127091,-8.453038674033154,-17.56906077348068,-13.756906077348077,-11.602209944751388,6.629834254143642,-2.0994475138121684,11.878453038674024,12.15469613259666,-2.7624309392265194,3.7016574585635253
,,,,,,0.0,-4.210526315789482,-2.5484764542936333,-4.653739612188365,-8.864265927977847,-7.146814404432147,-8.199445983379503,-17.340720221606663,-13.518005540166211,-11.357340720221611,6.925207756232686,-1.8282548476454397,12.188365650969525,12.465373961218816,-2.4930747922437635,3.988919667590021
,,,,,,,0.0,1.7351069982648972,-0.462695199537295,-4.8582995951417,-3.065355696934651,-4.164256795835737,-13.70734528629266,-9.7165991902834,-7.460960092539036,11.625216888374792,2.4869866975130117,17.119722382880283,17.408906882591083,1.7929438982070693,8.559861191440142
,,,,,,,,0.0,1.0215664018161368,0.1702610669693595,-5.618615209988621,-9.250851305334832,-12.883087400681022,-8.002270147559573,-4.937570942111223,-0.2837684449489056,-1.5323496027241545,7.03745743473327,4.1430192962542804,-4.086265607264466,-2.440408626560705
,,,,,,,,,0.0,-4.41603718768159,-2.6147588611272683,-3.71876815804765,-13.306217315514251,-9.296920395119125,-7.030796048808837,12.144102266124344,2.9633933759442064,17.664148750726316,17.954677513073772,2.266124346310288,9.06449738524113
,,,,,,,,,,0.0,1.8844984802431533,0.7294832826747781,-9.30091185410335,-5.106382978723404,-2.735562310030391,17.325227963525847,7.720364741641335,23.10030395136779,23.404255319148927,6.990881458966578,14.103343465045596
,,,,,,,,,,,0.0,-3.848466626578486,-7.696933253156951,-2.5255562236921323,0.7215874924834481,5.652435357787118,4.329524954900775,13.409500901984345,10.342754058929637,1.623571858087769,3.3674082982561555
,,,,,,,,,,,,0.0,-4.002501563477166,1.3758599124452824,4.752970606629141,9.881175734834272,8.505315822389,17.948717948717942,14.759224515322083,5.691056910569095,7.504690431519706
,,,,,,,,,,,,,0.0,5.602605863192178,9.120521172638426,14.462540716612368,13.029315960912049,22.866449511400635,19.543973941368076,10.097719869706822,11.986970684039086
,,,,,,,,,,,,,,0.0,3.331276989512641,8.389882788402216,7.032695866748924,16.3479333744602,13.20172732880938,4.2566317088217005,6.04565083281925
,,,,,,,,,,,,,,,0.0,4.895522388059703,3.5820895522388145,12.597014925373132,9.552238805970157,0.8955223880596931,2.6268656716417986
,,,,,,,,,,,,,,,,0.0,-0.27624309392265584,3.314917127071811,-1.6574585635359154,0.0,-7.790055248618804
,,,,,,,,,,,,,,,,,0.0,8.703170028818432,5.763688760806916,-2.5936599423631286,-0.9221902017291074
,,,,,,,,,,,,,,,,,,0.0,-3.8054968287526365,2.4841437632135244,-1.0042283298097319
,,,,,,,,,,,,,,,,,,,0.0,6.538461538461525,2.912087912087898
,,,,,,,,,,,,,,,,,,,,0.0,1.7159763313609628
,,,,,,,,,,,,,,,,,,,,,0.0
